"","Followers","Type","Category","Month","Weekday","Hour","Paid","UniqueViews","UniqueClicks","UniqueViewsFollowers","UniqueClicksFollowers","comment","like","share"
"1",139441,"Photo",2,12,4,3,0,2752,178,1640,119,4,79,17
"2",139441,"Status",2,12,3,10,0,10460,1457,6112,1108,5,130,29
"3",139441,"Photo",3,12,3,3,0,2413,177,1503,132,0,66,14
"4",139441,"Photo",2,12,2,10,1,50128,2211,32048,1386,58,1572,147
"5",139441,"Photo",2,12,2,3,0,7244,671,3200,396,19,325,49
"6",139441,"Status",2,12,1,9,0,10472,1191,7852,1016,1,152,33
"7",139441,"Photo",3,12,1,3,1,11692,481,9328,379,3,249,27
"8",139441,"Photo",3,12,7,9,1,13720,537,11056,422,0,325,14
"9",139441,"Status",2,12,7,3,0,11844,1530,7912,1250,0,161,31
"10",139441,"Photo",3,12,6,10,0,4694,280,2324,199,3,113,26
"11",139441,"Status",2,12,5,10,0,21744,4258,18952,3798,0,233,19
"12",139441,"Photo",2,12,5,10,0,3112,208,2174,165,0,88,18
"13",139441,"Photo",2,12,5,10,0,2847,193,2072,152,0,90,14
"14",139441,"Photo",2,12,5,3,0,2549,249,1917,183,5,137,10
"15",138414,"Photo",2,12,4,5,1,22784,887,19312,684,2,577,20
"16",138414,"Status",2,12,3,10,0,10060,1264,8548,1162,4,86,18
"17",138414,"Photo",3,12,3,3,0,1722,163,1050,123,2,40,12
"18",138414,"Photo",1,12,2,12,1,53264,1706,39776,1307,15,678,20
"19",138414,"Status",3,12,2,3,0,3930,130,2410,101,4,54,17
"20",138414,"Photo",3,12,1,11,0,1591,121,1161,100,0,34,8
"21",138414,"Photo",2,12,1,3,0,2848,200,1963,157,3,66,12
"22",138414,"Photo",1,12,7,10,0,1384,15,1172,15,0,0,0
"23",138414,"Link",1,12,7,10,0,3454,118,3100,106,0,16,2
"24",138414,"Photo",3,12,7,3,0,2723,176,1621,143,0,72,24
"25",138414,"Status",2,12,6,10,0,8488,1341,5244,995,3,99,19
"26",138458,"Status",2,12,6,3,0,8284,1521,5372,1200,0,88,18
"27",138458,"Status",2,12,5,11,0,19552,2806,9824,1779,10,412,72
"28",138458,"Photo",3,12,5,3,0,2478,212,1443,166,0,100,17
"29",138895,"Photo",2,12,5,3,0,9560,973,4748,621,36,523,63
"30",138895,"Video",1,12,4,11,1,36208,1141,14112,559,18,143,13
"31",138895,"Photo",2,12,4,2,0,4940,385,2930,273,33,107,22
"32",138895,"Photo",2,12,3,10,0,1683,192,858,131,1,27,11
"33",138895,"Photo",3,12,3,3,0,5280,368,2422,268,2,155,47
"34",138895,"Photo",3,12,2,9,0,3002,268,1676,194,4,98,23
"35",138895,"Photo",1,12,2,3,0,3766,298,2938,244,2,56,17
"36",138895,"Photo",2,12,1,11,0,4512,423,2954,316,6,172,21
"37",138895,"Photo",3,12,1,3,0,2690,252,1727,199,0,96,17
"38",138895,"Photo",1,12,7,10,1,19800,479,2752,248,16,76,8
"39",138895,"Status",2,12,7,9,0,17576,5352,11792,4104,11,227,31
"40",138895,"Photo",1,12,7,3,0,3290,306,2584,247,1,44,14
"41",138895,"Status",2,12,6,11,0,13280,2055,9344,1716,7,216,39
"42",138895,"Link",1,12,6,3,1,18480,517,6752,319,6,187,18
"43",138353,"Photo",1,12,5,10,0,7268,2087,7096,1975,7,26,3
"44",138353,"Link",1,12,5,3,1,2645,134,1377,101,7,29,10
"45",138353,"Photo",1,12,4,11,0,4284,355,3634,291,0,47,11
"46",138353,"Link",1,12,4,3,1,7968,206,3492,138,4,57,10
"47",138353,"Status",1,12,3,11,0,16576,3572,12888,3014,4,174,36
"48",138353,"Link",1,12,3,2,0,1925,97,1180,77,6,18,8
"49",138353,"Photo",1,12,2,11,0,3786,338,3216,280,0,77,15
"50",138353,"Link",1,12,2,2,0,1536,84,1407,76,1,12,1
"51",138353,"Photo",2,11,1,9,0,1728,108,1232,77,1,48,9
"52",138329,"Photo",1,11,1,3,1,25248,726,8608,451,24,285,28
"53",138329,"Photo",1,11,7,9,0,4894,355,2712,246,9,202,31
"54",138329,"Photo",1,11,7,3,0,2935,237,2044,201,4,64,19
"55",138329,"Photo",1,11,6,10,0,2425,260,1510,175,4,66,13
"56",138329,"Video",1,11,6,2,1,16416,459,9568,363,2,65,14
"57",138329,"Photo",1,11,5,11,0,5812,343,2764,240,2,164,54
"58",138329,"Photo",1,11,5,3,0,2545,165,1901,134,0,40,13
"59",138329,"Photo",1,11,4,10,0,2257,230,1557,168,3,76,11
"60",138329,"Photo",1,11,4,3,1,27072,421,9712,263,4,139,17
"61",138185,"Photo",1,11,3,11,1,10940,417,5100,319,8,101,14
"62",138185,"Photo",1,11,3,2,1,50912,630,12704,346,8,144,10
"63",138185,"Photo",1,11,2,10,1,28752,802,7456,408,10,179,13
"64",138185,"Photo",1,11,2,3,1,27216,541,7760,315,4,219,22
"65",138185,"Photo",1,11,1,10,0,2352,232,1761,181,2,60,7
"66",138185,"Photo",1,11,1,3,0,3416,356,2388,280,19,77,23
"67",138185,"Photo",1,11,7,11,0,2149,197,1640,161,0,48,7
"68",138185,"Photo",1,11,7,3,1,53456,1576,14912,884,20,697,70
"69",138185,"Photo",1,11,6,11,0,2168,211,1539,171,0,53,17
"70",137893,"Photo",1,11,6,3,0,3102,360,1780,275,7,84,28
"71",137893,"Photo",1,11,5,10,1,39344,588,11392,336,7,146,9
"72",137893,"Video",1,11,5,3,1,100768,2101,18880,885,17,449,84
"73",137893,"Status",3,11,4,11,0,9056,1006,5180,740,3,226,44
"74",137893,"Photo",1,11,4,2,1,11444,555,4320,438,14,172,47
"75",137893,"Video",1,11,3,11,0,13544,517,11760,447,2,99,13
"76",137893,"Photo",1,11,3,2,1,37376,1150,10880,724,20,411,74
"77",137893,"Photo",1,11,3,2,0,1228,17,1228,17,0,0,0
"78",137177,"Photo",1,11,1,10,0,22984,438,4968,262,4,85,8
"79",137177,"Photo",2,11,1,3,0,1445,217,1005,154,0,56,8
"80",137177,"Photo",1,11,7,12,0,3754,658,3224,598,2,29,7
"81",137177,"Status",2,11,7,3,0,8728,2295,7344,2099,2,86,13
"82",137177,"Photo",3,11,6,10,0,5990,657,2628,428,18,370,53
"83",137177,"Photo",1,11,6,3,0,4582,454,1722,305,5,190,57
"84",137177,"Photo",3,11,5,10,1,2938,321,1848,236,2,101,19
"85",137177,"Status",3,11,5,2,0,6692,199,3336,156,2,99,16
"86",137177,"Photo",1,11,4,9,1,2566,384,1806,266,10,140,8
"87",137177,"Link",1,11,4,3,0,21176,330,5248,185,2,130,31
"88",137177,"Photo",3,11,3,10,0,4012,550,2218,403,3,270,38
"89",137177,"Photo",1,11,3,3,0,1531,212,690,143,3,30,6
"90",137059,"Photo",1,11,2,11,1,2938,374,2078,287,2,107,17
"91",137059,"Photo",1,11,2,3,0,24720,845,8120,504,13,331,77
"92",137059,"Photo",2,11,1,9,0,2219,287,1495,221,0,78,13
"93",137059,"Photo",3,11,1,3,0,4732,607,3136,445,9,301,32
"94",137059,"Photo",3,11,7,9,0,2225,310,1389,233,2,111,16
"95",137059,"Photo",2,11,7,4,0,2626,316,1605,244,2,124,22
"96",137059,"Photo",3,10,6,10,0,3090,391,1796,293,5,153,27
"97",137059,"Photo",1,10,6,3,0,1101,324,704,220,3,51,11
"98",137059,"Photo",2,10,5,11,0,2819,318,1622,240,1,115,26
"99",137020,"Status",2,10,5,3,1,12468,2143,7636,1661,7,310,61
"100",137020,"Photo",1,10,4,10,0,12776,785,7800,575,12,328,90
"101",137020,"Photo",1,10,4,9,1,1357,37,1120,32,0,0,0
"102",137020,"Photo",2,10,4,3,0,68896,2624,19840,1354,26,1505,95
"103",137020,"Photo",3,10,3,10,0,1711,288,1118,205,2,63,14
"104",137020,"Photo",1,10,3,4,0,1388,224,1214,172,0,13,4
"105",137020,"Photo",1,10,2,11,1,2645,357,2101,265,4,59,9
"106",137020,"Photo",1,10,2,4,0,70144,3216,20608,1542,42,955,139
"107",137020,"Photo",3,10,1,11,0,3674,452,1890,328,9,181,32
"108",136736,"Status",2,10,1,4,0,9504,1132,7616,981,17,193,28
"109",136736,"Photo",3,10,7,9,0,2426,320,1684,248,7,125,16
"110",136736,"Status",2,10,7,3,0,13872,2664,10432,2252,4,217,50
"111",136736,"Photo",1,10,6,10,0,1673,338,1469,268,2,28,4
"113",136736,"Photo",2,10,6,4,0,2428,311,1560,236,4,117,18
"114",136642,"Photo",2,10,1,3,1,2227,369,1702,306,2,79,16
"115",136642,"Photo",1,10,7,13,0,1592,370,1454,327,0,15,2
"116",136642,"Photo",1,10,7,12,1,813,323,695,280,0,4,2
"117",136642,"Photo",1,10,7,12,0,32208,1810,31648,1724,1,431,26
"118",136642,"Photo",1,10,7,11,0,729,303,650,262,0,7,0
"119",136642,"Photo",1,10,7,10,0,834,399,704,351,0,7,2
"120",136393,"Photo",1,10,7,10,0,786,263,660,222,0,6,2
"122",136393,"Status",2,10,7,9,0,15816,2733,11912,2361,6,186,40
"123",136393,"Photo",1,10,7,8,0,619,257,516,217,1,1,2
"124",136393,"Photo",1,10,7,7,0,617,229,521,191,1,3,2
"126",136393,"Photo",1,10,7,5,0,677,236,580,196,0,7,2
"127",136393,"Photo",3,10,7,3,0,3366,474,1674,385,3,198,41
"128",136393,"Photo",1,10,6,13,0,747,226,632,194,0,9,1
"129",136393,"Photo",1,10,6,13,0,645,195,554,166,0,4,1
"130",136393,"Photo",1,10,6,12,0,754,206,690,175,0,3,0
"131",136393,"Photo",1,10,6,11,0,910,207,782,176,0,8,2
"132",136393,"Photo",1,10,6,9,0,3906,868,3768,774,0,7,3
"133",136393,"Photo",1,10,6,9,0,659,199,576,169,1,7,2
"134",136393,"Photo",1,10,6,8,0,652,214,588,182,0,11,1
"135",136393,"Photo",1,10,6,6,0,861,214,717,180,2,28,4
"136",136393,"Photo",1,10,6,2,0,3690,424,3290,377,0,56,12
"137",136393,"Link",1,10,5,10,0,4664,204,3324,173,0,32,16
"138",136013,"Photo",1,10,5,8,0,1080,210,934,184,4,32,3
"139",136013,"Status",2,10,5,3,0,8896,1480,7020,1292,0,129,25
"140",136013,"Photo",1,10,4,10,1,4018,428,2992,351,4,77,19
"141",136013,"Link",1,10,4,3,0,68992,1032,8032,635,15,143,44
"142",136013,"Status",3,10,3,10,0,13152,2543,10280,2278,2,227,36
"143",136013,"Status",2,10,3,2,1,31136,6164,18048,4376,60,859,90
"144",136013,"Photo",3,10,2,10,1,16776,714,6200,590,10,377,60
"145",136013,"Photo",1,10,2,3,1,50736,1462,15552,1275,3,41,9
"146",136013,"Photo",1,10,1,10,1,5324,528,4054,448,6,76,14
"147",136013,"Photo",3,10,1,3,0,18120,421,2616,327,0,189,15
"148",135713,"Photo",3,10,7,10,0,2291,303,1723,253,0,80,14
"149",135713,"Status",2,10,7,4,0,10744,1967,8964,1834,3,148,28
"150",135713,"Link",1,10,6,11,1,3616,111,2138,93,0,24,11
"151",135713,"Photo",1,10,6,4,0,39984,2105,21328,1609,24,302,41
"152",135713,"Photo",2,10,5,11,0,4010,477,2362,354,2,166,32
"153",135713,"Photo",2,10,5,4,1,6564,806,4024,563,47,358,49
"154",135713,"Photo",1,10,4,10,0,8612,813,7208,630,7,161,25
"155",135713,"Photo",2,10,4,1,0,5568,746,3162,537,13,319,55
"156",135700,"Photo",2,9,3,7,0,1685,322,953,237,0,54,16
"157",135700,"Photo",2,9,2,11,0,3756,469,2556,365,16,117,30
"158",135700,"Photo",3,9,2,2,0,2656,390,1722,309,1,115,21
"159",135700,"Photo",2,9,1,10,0,5086,622,3298,489,30,187,35
"160",135617,"Photo",2,9,1,3,1,2055,346,1507,277,1,84,13
"161",135617,"Photo",3,9,7,9,0,9384,757,7020,604,6,363,40
"162",135617,"Photo",2,9,7,3,0,3992,598,2420,435,6,244,32
"163",135617,"Photo",3,9,6,10,0,7512,769,3260,530,22,290,98
"164",135617,"Status",2,9,6,4,0,11096,1843,8120,1604,4,243,41
"166",135428,"Photo",2,9,5,3,1,2790,435,1999,351,0,113,19
"167",135428,"Photo",1,9,4,10,1,13856,519,9064,389,2,77,5
"168",135428,"Photo",3,9,4,2,1,10748,892,7624,704,8,485,64
"169",135428,"Photo",1,9,3,10,0,41984,3370,20928,2126,144,1622,208
"170",135428,"Photo",2,9,3,2,1,2522,455,1674,333,6,99,16
"171",135195,"Photo",3,9,2,9,0,4480,572,2704,416,3,188,26
"172",135195,"Photo",1,9,2,2,0,1543,360,1228,267,2,30,6
"173",135195,"Status",2,9,1,10,0,21256,4840,17592,4318,38,163,27
"174",135195,"Photo",1,9,1,4,0,4484,545,2412,382,6,179,40
"175",135195,"Photo",2,9,7,3,0,4398,584,2616,431,5,204,34
"176",135195,"Status",2,9,6,10,1,13216,2675,10232,2342,2,165,22
"177",135195,"Photo",3,9,6,3,1,22304,1805,13304,1349,29,1047,98
"178",135195,"Photo",1,9,5,11,0,6208,644,4016,495,2,234,40
"179",135195,"Photo",2,9,5,2,0,4518,626,2254,439,7,250,42
"180",135195,"Photo",2,9,4,10,0,3582,537,2124,404,4,154,36
"181",134879,"Status",2,9,4,4,1,9124,1476,7092,1331,20,150,29
"182",134879,"Photo",1,9,3,10,0,14152,631,6632,404,4,102,8
"183",134879,"Photo",3,9,3,2,1,4260,588,2432,436,1,226,44
"184",134879,"Video",1,9,2,10,0,30624,2080,15744,1376,6,345,121
"185",134879,"Photo",2,9,2,3,0,2363,393,1788,297,11,68,11
"186",134879,"Photo",1,9,1,10,0,2232,374,1740,278,0,62,10
"187",134879,"Photo",2,9,1,6,0,4048,544,2280,368,5,223,35
"188",134879,"Photo",2,9,7,10,0,1804,330,1354,234,0,61,6
"189",134879,"Photo",3,9,7,4,1,2351,371,1791,288,1,104,12
"190",133679,"Photo",2,9,2,10,0,3100,518,2274,367,3,146,15
"191",133679,"Photo",3,9,2,3,1,2360,436,1603,300,2,102,15
"192",133679,"Photo",3,8,1,10,0,19648,1359,13528,1020,9,766,43
"193",133679,"Photo",2,8,1,4,0,2295,377,1882,269,0,63,7
"194",133594,"Photo",2,8,7,10,1,3934,512,3082,384,3,113,17
"195",133594,"Photo",1,8,7,3,0,34512,1666,22816,1278,6,442,42
"196",133594,"Photo",2,8,6,10,0,5282,703,3244,470,9,278,43
"197",133594,"Photo",1,8,6,8,0,1809,399,1435,289,2,64,7
"198",133594,"Photo",2,8,5,13,0,1920,365,1519,251,1,52,7
"199",133451,"Photo",1,8,4,9,1,1954,356,1772,252,0,30,2
"200",132817,"Photo",3,8,4,10,0,33536,1954,24448,1564,33,1155,102
"201",132817,"Photo",2,8,4,3,1,4204,498,2974,387,2,139,25
"202",132817,"Photo",1,8,3,9,0,3376,428,2806,331,0,40,5
"203",132817,"Status",2,8,3,2,1,9236,1151,7880,1075,2,53,15
"204",132817,"Photo",3,8,2,10,0,72864,946,30912,646,4,220,19
"205",132817,"Photo",3,8,2,3,0,3358,394,2426,298,2,114,16
"206",132201,"Photo",1,8,1,12,1,3254,371,2846,283,0,39,3
"207",132201,"Photo",1,8,1,3,0,50640,2240,34880,1790,4,859,68
"208",132201,"Photo",2,8,7,10,0,3734,529,2868,389,5,137,20
"209",132201,"Photo",3,8,7,3,0,2594,347,2067,248,1,54,11
"210",132201,"Photo",2,8,6,10,1,2232,376,1306,257,2,74,22
"211",132201,"Photo",3,8,6,3,1,22120,979,17528,796,6,98,3
"212",132201,"Photo",3,8,5,10,0,7980,630,5372,467,2,264,21
"213",132201,"Photo",2,8,5,1,0,1659,345,915,239,3,36,11
"214",132201,"Photo",3,8,4,11,1,1006,277,651,187,1,11,3
"215",132201,"Photo",3,8,4,3,1,12728,844,8844,657,4,435,31
"216",131956,"Photo",1,8,3,10,0,28880,1062,15808,740,2,114,10
"217",131956,"Photo",2,8,3,4,0,1330,363,827,230,2,17,9
"218",131956,"Status",2,8,2,12,0,14424,304,14056,291,41,15,1
"219",131956,"Photo",1,8,2,7,0,14200,1393,13376,1233,3,87,10
"220",131956,"Photo",3,8,1,12,0,5746,769,4288,584,16,227,28
"221",131956,"Photo",2,8,1,4,0,2540,389,2063,279,2,86,8
"222",131956,"Photo",3,8,7,10,0,4324,548,3008,401,6,179,27
"223",131808,"Status",2,8,7,4,0,8260,997,7360,956,1,74,11
"224",131808,"Status",2,8,6,10,1,20168,3370,15056,2806,18,332,54
"225",131808,"Photo",1,8,6,6,0,5046,528,4184,421,2,80,21
"226",131808,"Status",2,7,5,14,0,15296,2827,13296,2602,9,95,17
"227",131728,"Photo",3,7,5,8,1,3414,473,2390,360,3,188,26
"228",131728,"Photo",1,7,4,10,1,95424,699,22016,417,6,109,11
"229",131728,"Photo",2,7,4,3,0,14824,868,8560,650,64,367,25
"230",131630,"Photo",2,7,3,13,0,3504,444,2730,348,9,102,19
"231",131630,"Photo",3,7,2,23,0,2822,424,2020,327,2,113,20
"232",131630,"Photo",3,7,2,13,0,2973,356,2208,266,0,94,20
"233",131630,"Status",2,7,2,6,1,10824,135,10384,126,6,14,1
"234",131630,"Photo",1,7,1,11,0,4592,320,2100,222,1,43,10
"235",131630,"Photo",2,7,1,5,0,3176,372,2426,279,1,98,21
"236",131300,"Status",2,7,7,10,0,10956,128,10564,123,3,13,1
"237",131300,"Photo",3,7,7,4,0,10888,913,8048,722,12,237,45
"238",131300,"Photo",2,7,6,10,0,3594,424,2468,309,4,112,23
"239",131300,"Photo",1,7,6,2,0,3384,451,2508,344,2,101,25
"240",130791,"Photo",2,7,5,11,1,4096,487,2826,355,10,145,31
"241",130791,"Photo",3,7,5,3,0,19968,1016,14792,757,6,535,83
"242",130791,"Photo",1,7,4,11,0,4892,536,4206,428,4,118,22
"243",130791,"Status",2,7,4,6,0,17360,2573,11800,1905,9,484,79
"244",130791,"Video",1,7,3,11,1,21872,3872,12920,2218,18,315,76
"245",130791,"Photo",2,7,3,5,1,180480,8072,51456,3316,372,5172,790
"246",130791,"Photo",1,7,2,13,0,44464,1052,14080,559,4,154,30
"247",130791,"Photo",2,7,2,8,0,2881,550,2040,323,0,73,15
"248",129600,"Photo",2,7,1,12,0,3460,541,2260,314,0,96,19
"249",129600,"Photo",3,7,1,6,0,3406,571,2598,355,1,98,19
